   38 1334    0
                   9.6769013E+00  -1.5257723E+00  -1.1065272E+00
                   9.0272229E+00  -2.9197079E+00  -2.4901883E+00
                   1.0839355E+01  -2.4850350E+00   3.1114905E-01
                   1.0884147E+01  -1.4032349E-01  -2.0555343E+00
                   7.5376559E+00  -1.3545745E-01   2.3468696E-01
                   7.9666104E+00   1.5502481E+00   1.7767374E+00
                   5.1699048E+00  -9.1433258E-01  -3.7428858E-01
                   4.8603072E+00  -2.2126764E+00  -1.7457156E+00
  -7.9316000E-02   7.0406447E+00   3.1540679E+00   4.9843772E+00
  -7.4453000E-02   6.1146790E+00   1.5502481E+00   4.9843772E+00
  -7.0311000E-02   7.0406447E+00  -5.3571842E-02   4.9843772E+00
  -7.1433000E-02   8.8925762E+00  -5.3571842E-02   4.9843772E+00
  -7.7038000E-02   1.1174250E+01   1.5502481E+00   3.6286689E+00
  -8.1430000E-02   1.0561645E+01   3.4356503E+00   3.6286689E+00
  -7.9513000E-02   8.9578246E+00   4.6008951E+00   3.6286689E+00
  -7.7083000E-02   6.9753944E+00   4.6008951E+00   3.6286689E+00
  -7.1773000E-02   5.3715764E+00   3.4356503E+00   3.6286689E+00
  -6.1801000E-02   1.0561645E+01  -3.3515424E-01   3.6286689E+00
  -6.6712000E-02   1.1670473E+01   1.5502481E+00   1.7767374E+00
  -7.6401000E-02   1.1174250E+01   3.4021795E+00   1.7767374E+00
  -7.6552000E-02   9.8185419E+00   4.7578878E+00   1.7767374E+00
  -7.3060000E-02   7.9666104E+00   5.2541110E+00   1.7767374E+00
  -6.1983000E-02   1.0561645E+01   3.4356503E+00  -7.5194087E-02
  -6.5091000E-02   8.9578246E+00   4.6008951E+00  -7.5194087E-02
  -4.0230000E-02   6.1620109E+00  -2.6327114E+00   3.0624673E+00
  -4.3237000E-02   4.6808040E+00  -4.3161077E+00   1.6099237E+00
  -3.1040000E-02   6.5975852E+00  -4.0405157E+00   1.6099237E+00
  -1.9019000E-02   6.1620109E+00   8.0404628E-01  -3.8110444E+00
  -1.7914000E-02   5.3846136E+00  -5.1861621E+00  -7.6466628E-01
  -5.7610000E-03   5.3846136E+00  -5.1861621E+00  -2.7267631E+00
  -1.4046000E-02   5.4369533E+00  -4.3794211E-01  -4.3141329E+00
  -3.7425000E-02   3.3506278E+00  -1.1158303E+00  -4.3141329E+00
  -4.4662000E-02   3.3506278E+00  -3.3095225E+00  -4.3141329E+00
  -2.6600000E-04   5.4369533E+00  -3.9874107E+00  -4.3141329E+00
  -8.8840000E-03   4.8603072E+00  -2.2126764E+00  -4.9204553E+00
  -6.1495000E-02   2.1752371E+00  -4.9620727E+00   2.3618891E+00
  -4.4383000E-02   3.6387392E+00  -3.6939400E+00   2.3618891E+00
  -8.5032000E-02  -6.5966555E-01  -5.5464308E+00   3.7767686E-01
  -7.1135000E-02   1.2258974E+00  -5.7753806E+00   3.7767686E-01
  -4.7643000E-02   3.0018789E+00  -5.1018388E+00   3.7767686E-01
  -8.2667000E-02  -4.8890046E-01  -5.7654954E+00   2.8228727E-02
  -7.1780000E-02   1.4935298E+00  -5.7654954E+00   2.8228727E-02
  -6.9626000E-02  -1.3496158E+00  -5.9224882E+00  -1.8237027E+00
  -7.8105000E-02   5.0231562E-01  -6.4187113E+00  -1.8237027E+00
  -6.9674000E-02   2.3542471E+00  -5.9224882E+00  -1.8237027E+00
  -7.0502000E-02  -4.8890046E-01  -5.7654954E+00  -3.6756342E+00
  -7.2916000E-02   1.4935298E+00  -5.7654954E+00  -3.6756342E+00
  -5.6798000E-02   3.0973497E+00  -4.6002507E+00  -3.6756342E+00
  -6.3039000E-02   2.3542471E+00  -2.7148484E+00  -5.0313425E+00
  -6.0704000E-02   1.4282814E+00  -1.1110285E+00  -5.0313425E+00
  -4.9349000E-02  -4.2365011E-01  -1.1110285E+00  -5.0313425E+00
  -4.7420000E-02  -1.3496158E+00  -2.7148484E+00  -5.0313425E+00
  -6.3368000E-02  -4.2365011E-01  -4.3186683E+00  -5.0313425E+00
  -6.8558000E-02   1.4282814E+00  -4.3186683E+00  -5.0313425E+00
  -6.3227000E-02   5.0231562E-01  -2.7148484E+00  -5.5275657E+00
  -2.4887000E-02   5.7137075E+00   2.6914139E+00  -2.6418766E+00
  -1.0899000E-02   2.7097064E+00   5.9664886E+00   2.0087579E+00
  -3.8010000E-03   1.2462025E+00   7.2346213E+00   2.0087579E+00
   1.4264000E-02  -2.4320755E+00   6.7057645E+00   2.0087579E+00
   1.3763000E-02  -1.6432245E+00   4.6670223E+00  -4.5619138E+00
   2.2713000E-02  -4.1602280E+00   1.6039805E+00   4.8942656E+00
   6.4850000E-03  -4.4911681E+00  -2.1984127E+00   5.6291196E+00
   3.1894000E-02  -7.4674866E+00  -3.9167916E+00   5.6291196E+00
   1.6687000E-02  -5.4832743E+00  -3.9167916E+00   5.6291196E+00
   2.7241000E-02  -6.9644812E+00  -5.6001878E+00   4.1765760E+00
   2.0172000E-02  -5.9970398E+00  -6.1379037E+00   2.1923637E+00
   1.7984000E-02  -5.0477000E+00  -5.3245959E+00   2.0815143E-01
   5.5538000E-02  -1.1854399E+01  -8.1350814E-02   1.3694939E+00
   5.3809000E-02  -9.9640773E+00   4.5974369E+00  -6.1471842E-01
   5.4639000E-02  -1.1527264E+01   3.5184487E+00  -6.1471842E-01
   5.4584000E-02  -1.2409965E+01   1.8366020E+00  -6.1471842E-01
   5.4324000E-02  -1.1854399E+01   1.8551421E+00  -2.5989307E+00
   5.6384000E-02  -8.5218365E+00  -9.2206534E-01  -4.2165588E+00
   2.3650000E-03  -3.7966126E+00  -5.0164950E+00  -4.2165588E+00
   3.0547000E-02  -6.2163991E+00  -3.6086907E+00  -5.6691024E+00
   1.4898000E-02  -4.2321869E+00  -3.6086907E+00  -5.6691024E+00
  -7.0135000E-02  -6.1234492E-01  -2.3025007E+00   5.9879729E+00
  -7.7959000E-02   1.2395865E+00  -2.3025007E+00   5.4917497E+00
  -6.8439000E-02   3.1362081E-01  -6.9868083E-01   5.4917497E+00
  -5.1975000E-02  -1.5383107E+00  -6.9868083E-01   5.4917497E+00
  -4.6752000E-02  -2.4642764E+00  -2.3025007E+00   5.4917497E+00
  -6.4114000E-02  -1.5383107E+00  -3.9063206E+00   5.4917497E+00
  -7.8031000E-02   3.1362081E-01  -3.9063206E+00   5.4917497E+00
  -6.5827000E-02   2.5952949E+00  -2.3025007E+00   4.1360414E+00
  -6.6342000E-02  -1.6035610E+00  -5.3531478E+00   4.1360414E+00
  -7.8390000E-02   3.7886927E-01  -5.3531478E+00   4.1360414E+00
  -7.5928000E-02   1.9826892E+00  -4.1879030E+00   4.1360414E+00
  -5.4860000E-02  -2.4642764E+00  -5.5101405E+00   2.2841099E+00
  -7.6769000E-02  -6.1234492E-01  -6.0063637E+00   2.2841099E+00
  -7.3209000E-02   1.2395865E+00  -5.5101405E+00   2.2841099E+00
  -7.5584000E-02  -1.6035610E+00  -5.3531478E+00   4.3217844E-01
  -3.2815000E-02   3.1942095E+00   5.1259195E-01   5.8890570E+00
  -4.7170000E-02   5.0602742E+00   5.1259195E-01   5.2827366E+00
  -3.2470000E-02   3.7708556E+00   2.2873262E+00   5.2827366E+00
  -2.4644000E-02   1.6845301E+00   1.6094381E+00   5.2827366E+00
  -5.4370000E-02   1.6845301E+00  -5.8425414E-01   5.2827366E+00
  -4.2016000E-02   3.7708556E+00  -1.2621423E+00   5.2827366E+00
  -3.2766000E-02   3.7185159E+00   3.4860777E+00   3.6953667E+00
  -2.0165000E-02   3.5694278E-01   1.5452724E+00   3.6953667E+00
  -4.7649000E-02   3.7185159E+00  -2.4608938E+00   3.6953667E+00
  -4.5317000E-02   5.5071718E+00  -1.4282133E+00   3.6953667E+00
  -3.3393000E-02   3.8796093E+00   3.9445309E+00   2.9035734E+00
  -2.7617000E-02   4.4562555E+00   5.7192652E+00   2.2972530E+00
  -3.6151000E-02   6.1925716E+00   5.8853362E+00   7.0988313E-01
  -1.4982000E-02   4.4039157E+00   6.9180166E+00   7.0988313E-01
  -3.9237000E-02   6.8989663E+00   3.9445309E+00  -1.2522137E+00
  -2.2964000E-02   6.1925716E+00   5.8853362E+00  -1.2522137E+00
  -1.0671000E-02   4.4039157E+00   6.9180166E+00  -1.2522137E+00
  -2.2009000E-02   5.7456741E+00   3.9445309E+00  -2.8395835E+00
  -1.3753000E-02   4.4562555E+00   5.7192652E+00  -2.8395835E+00
  -2.1404000E-02   5.3004697E+00   2.3116111E+00  -3.6780398E+00
  -1.7205000E-02   4.5940751E+00   4.2524164E+00  -3.6780398E+00
  -8.0100000E-03   2.8054192E+00   5.2850968E+00  -3.6780398E+00
  -1.2256000E-02   4.1471775E+00   2.3116111E+00  -5.2654097E+00
  -5.9440000E-03   2.8577589E+00   4.0863454E+00  -5.2654097E+00
   1.1050000E-03   7.7143339E-01   3.4084572E+00  -5.2654097E+00
  -1.2886000E-02   7.7143339E-01   1.2147650E+00  -5.2654097E+00
  -2.1484000E-02   2.8577589E+00   5.3687682E-01  -5.2654097E+00
  -7.1760000E-03   2.2811128E+00   2.3116111E+00  -5.8717320E+00
   2.1070000E-03  -3.5976036E-01   4.2735964E+00   5.2618778E+00
  -8.8340000E-03   1.5063044E+00   4.2735964E+00   4.6555573E+00
