   43 1597    0
                   8.3157770E+00  -5.3632691E+00   1.0230939E+00
                   9.2449553E+00  -4.3455024E+00   2.5643393E+00
                   9.7351294E+00  -5.9008735E+00  -3.8039995E-01
                   7.4994626E+00  -7.1129418E+00   1.7657411E+00
                   6.2572739E+00  -3.8541415E+00  -2.8492155E-01
                   5.1139066E+00  -4.6399576E+00  -2.1329677E+00
                   5.7744659E+00  -1.4893573E+00   7.1472649E-01
                   6.4508537E+00  -1.0849125E+00   2.4578929E+00
                   3.6604162E+00   7.5041019E-03  -2.3233803E-01
                   4.1905770E+00   2.8640423E+00   3.8637338E-02
                   2.4853128E+00   4.3673797E+00   5.2211806E-01
                   1.1113195E+00  -7.4472778E-01   9.6452370E-01
                  -1.1632057E+00   1.0756131E-01  -6.2093939E-01
                  -3.6976438E+00  -5.8737975E-01   6.3061668E-01
                  -5.8617146E+00   3.4954829E-01  -1.0284475E+00
                  -8.5573029E+00  -1.1479707E-01  -4.3236931E-02
                  -1.0387370E+01   9.3419927E-01  -1.9602128E+00
                  -9.0559128E+00  -2.8999735E+00   2.7387799E-01
                  -8.9719069E+00   1.2142000E+00   2.4411272E+00
                   3.5706184E+00  -4.2997313E-01  -2.2571416E+00
                   1.0946918E+00  -2.8083804E+00   1.1389700E+00
                   9.8085283E-01   6.1429323E-02   2.8699684E+00
                  -1.0504099E+00   2.1549982E+00  -8.8034964E-01
                  -1.0554120E+00  -7.7839325E-01  -2.4962128E+00
                  -3.7972797E+00  -2.6407258E+00   8.9165965E-01
                  -3.7739661E+00   2.8982539E-01   2.5057748E+00
                  -5.7282791E+00   2.3936195E+00  -1.3041906E+00
                  -5.8008994E+00  -5.5336090E-01  -2.8870761E+00
                  -1.0940994E+01   9.6744522E-01   3.0012817E+00
                  -7.7329496E+00   3.9900619E-01   3.8674376E+00
                  -8.5518945E+00   3.2188345E+00   2.2027137E+00
                  -1.2312990E+01   6.2581111E-01  -1.2902879E+00
                  -1.0034192E+01   2.9526213E+00  -2.1864356E+00
                  -1.0102473E+01  -3.5381340E-02  -3.7570568E+00
                  -1.1024285E+01  -3.1600319E+00   8.3062717E-01
                  -8.7000471E+00  -3.8494588E+00  -1.5216433E+00
                  -7.8125184E+00  -3.6545449E+00   1.7295755E+00
                   6.6301698E+00   3.5496575E+00  -3.4439311E-01
                   7.8795319E+00   2.1676102E+00  -7.6938493E-01
                   7.4733447E+00   6.1668222E+00  -3.3315680E-01
                   5.8869519E+00   7.3347371E+00   2.7075805E-01
                   8.0743532E+00   6.7644386E+00  -2.2227826E+00
                   9.0503910E+00   6.4199000E+00   9.8217374E-01
   9.4571000E-02   6.3315647E+00  -5.3632691E+00   4.4598497E+00
   7.9656000E-02   9.3078832E+00  -7.0816480E+00   4.4598497E+00
   7.4461000E-02   1.1206961E+01  -7.2213195E+00   3.0073062E+00
   7.1724000E-02   1.0570099E+01  -8.6292183E+00   1.0230939E+00
   6.0295000E-02   7.8266762E+00  -8.7650442E+00  -9.6111842E-01
   8.9259000E-02   9.2449553E+00  -4.3455024E+00   5.7390789E+00
   8.3568000E-02   1.1111020E+01  -4.3455024E+00   5.1327585E+00
   9.8056000E-02   9.8216014E+00  -2.5707681E+00   5.1327585E+00
   1.0803600E-01   7.7352778E+00  -3.2486563E+00   5.1327585E+00
   8.8627000E-02   7.7352778E+00  -5.4423485E+00   5.1327585E+00
   8.0244000E-02   9.8216014E+00  -6.1202348E+00   5.1327585E+00
   7.9503000E-02   1.2264312E+01  -4.3455024E+00   3.5453886E+00
   8.9060000E-02   1.1557918E+01  -2.4046971E+00   3.5453886E+00
   1.0981000E-01   9.7692616E+00  -1.3720167E+00   3.5453886E+00
   7.6287000E-02   1.1557918E+01  -6.2863077E+00   3.5453886E+00
   7.8429000E-02   1.2264312E+01  -4.3455024E+00   1.5832899E+00
   8.6904000E-02   1.1557918E+01  -2.4046971E+00   1.5832899E+00
   1.0348600E-01   9.7692616E+00  -1.3720167E+00   1.5832899E+00
   7.3927000E-02   1.2754486E+01  -5.9008735E+00   6.0064941E-01
   7.9691000E-02   1.2048092E+01  -3.9600682E+00   6.0064941E-01
   7.0497000E-02   1.0259436E+01  -8.8743592E+00   6.0064941E-01
   7.1167000E-02   1.2048092E+01  -7.8416788E+00   6.0064941E-01
   7.3576000E-02   1.2754486E+01  -5.9008735E+00  -1.3614493E+00
   7.8089000E-02   1.2048092E+01  -3.9600682E+00  -1.3614493E+00
   6.5715000E-02   1.0259436E+01  -8.8743592E+00  -1.3614493E+00
   7.0159000E-02   1.2048092E+01  -7.8416788E+00  -1.3614493E+00
   7.1224000E-02   1.1601194E+01  -5.9008735E+00  -2.9488191E+00
   7.4870000E-02   1.0311776E+01  -4.1261392E+00  -2.9488191E+00
   4.4236000E-02   8.2254519E+00  -6.9977196E+00  -2.9488191E+00
   6.4034000E-02   1.0311776E+01  -7.6756059E+00  -2.9488191E+00
   6.1660000E-02   9.7351294E+00  -5.9008735E+00  -3.5551396E+00
   8.2708000E-02   7.4994626E+00  -7.1129418E+00   4.9404807E+00
   9.2068000E-02   5.9897851E+00  -6.0160958E+00   4.3341603E+00
   8.3787000E-02   5.9897851E+00  -8.2097879E+00   4.3341603E+00
   7.7908000E-02   8.0761087E+00  -8.8876761E+00   4.3341603E+00
   9.8326000E-02   4.6621959E+00  -6.0802614E+00   2.7467904E+00
   8.3933000E-02   4.6621959E+00  -8.1456223E+00   2.7467904E+00
   7.8387000E-02   5.9897851E+00  -9.7277822E+00   2.7467904E+00
   7.4533000E-02   8.0237690E+00  -1.0086428E+01   2.7467904E+00
   7.3057000E-02   9.8124249E+00  -9.0537471E+00   2.7467904E+00
   6.9872000E-02   4.6621959E+00  -8.1456223E+00   7.8469171E-01
   6.9785000E-02   5.9897851E+00  -9.7277822E+00   7.8469171E-01
   6.8885000E-02   8.0237690E+00  -1.0086428E+01   7.8469171E-01
   7.0838000E-02   9.8124249E+00  -9.0537471E+00   7.8469171E-01
   4.9098000E-02   5.9897851E+00  -8.2097879E+00  -8.0267812E-01
   6.2494000E-02   8.0761087E+00  -8.8876761E+00  -8.0267812E-01
   8.7685000E-02   4.0066764E+00  -6.4514678E+00   1.6992907E+00
   8.7922000E-02   9.1484583E+00  -1.9960911E+00  -2.2691338E+00
   4.9899000E-02   2.5188725E+00  -6.5253599E+00  -2.8103627E-01
   4.5599000E-02   4.1226924E+00  -7.6906046E+00  -2.8103627E-01
   4.7748000E-02   1.4100436E+00  -4.6399576E+00  -2.1329677E+00
   3.4264000E-02   1.9062668E+00  -6.4918891E+00  -2.1329677E+00
   2.4036000E-02   3.2619751E+00  -7.8475974E+00  -2.1329677E+00
   2.1603000E-02   5.1139066E+00  -8.3438205E+00  -2.1329677E+00
   3.2939000E-02   6.9658380E+00  -7.8475974E+00  -2.1329677E+00
   4.0895000E-02   8.3215463E+00  -4.6399576E+00  -3.9848992E+00
   5.1191000E-02   7.7089406E+00  -2.7545553E+00  -3.9848992E+00
   5.8103000E-02   6.1051207E+00  -1.5893106E+00  -3.9848992E+00
   3.3010000E-02   1.9062668E+00  -4.6399576E+00  -3.9848992E+00
   2.1674000E-02   2.5188725E+00  -6.5253599E+00  -3.9848992E+00
   1.2273000E-02   4.1226924E+00  -7.6906046E+00  -3.9848992E+00
   1.1334000E-02   6.1051207E+00  -7.6906046E+00  -3.9848992E+00
   2.3858000E-02   7.7089406E+00  -6.5253599E+00  -3.9848992E+00
   2.0954000E-02   6.9658380E+00  -4.6399576E+00  -5.3406075E+00
   2.9253000E-02   6.0398723E+00  -3.0361377E+00  -5.3406075E+00
   3.0051000E-02   4.1879408E+00  -3.0361377E+00  -5.3406075E+00
   2.2089000E-02   3.2619751E+00  -4.6399576E+00  -5.3406075E+00
   1.3090000E-02   4.1879408E+00  -6.2437775E+00  -5.3406075E+00
   1.1304000E-02   6.0398723E+00  -6.2437775E+00  -5.3406075E+00
   1.7122000E-02   5.1139066E+00  -4.6399576E+00  -5.8368307E+00
   1.0889800E-01   3.7902537E+00  -1.4893573E+00   4.1514823E+00
   1.0581800E-01   4.7823598E+00  -3.2077362E+00   4.1514823E+00
   9.7889000E-02   9.7428905E+00  -1.4893573E+00   7.1472649E-01
   1.1479800E-01   6.4508537E+00  -1.0849125E+00   5.6326326E+00
   1.1573700E-01   8.3169184E+00  -1.0849125E+00   5.0263121E+00
   1.1270000E-01   7.0274998E+00   6.8982180E-01   5.0263121E+00
   1.1464400E-01   4.9411743E+00   1.1933620E-02   5.0263121E+00
   1.1062500E-01   4.9411743E+00  -2.1817586E+00   5.0263121E+00
   1.1540700E-01   7.0274998E+00  -2.8596467E+00   5.0263121E+00
